Stamp,Name,Category,Contact,Address,Town,PostCode,Email,Telephone,Website,Twitter,Facebook,Monday Opening,Monday Closing,Tuesday Opening,Tuesday Closing,Wednesday Opening,Wednesday Closing,Thursday Opening,Thursday Closing,Friday Opening,Friday Closing,Saturday Opening,Saturday Closing,Sunday Opening,Sunday Closing,Services
"51.7470673271457 -3.37801707341294|110 High Street, Merthyr Tydfil CF47 8AP, UK|GPS|2013-09-03T06:04:58-04:00",Tydfil training consortium,Services,Paul gray,107 high street,Merthyr Tydfil,Cf47 8ap,paul.gray@tydfil.com,01685 371747,,@,Yes,9am,4pm,9am,4pm,9am,4pm,9am,4pm,9am,4pm,,,,,"Training provider, helping people get jobs"
"51.7443488631411 -3.37818048133546|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T09:39:35-04:00",Merthyr Tydfil borough credit union,Services,Delyth shearing,139 high street,Merthyr Tydfil,Cf47 8dn,info@mtbcu.org.uk,01685 377888,http://www.mtbcu.org.uk,@MTBCU,Yes,9am,4pm,9am,4pm,9am,4pm,9am,4pm,9am,3pm,,,,,"Financial cooperative, savings, junior savings, loans "
"51.7468362775579 -3.3781171430752|Church Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T06:17:36-04:00",Family matters mediation,Services,Gayn or Walsh,111-112 high street,Merthyr Tydfil,Cf47 8ap,admin@familymattersmediation.co.uk,01685 388709,http://www.familymattersmediation.co.uk,@familymatters04,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,1pm,,,"Mediation, divorce, separation, working with families"
"51.7449549049835 -3.37827519786265|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T09:17:44-04:00",Peter Alan Ltd ,Services,Gemma Gardner ,133 high street,Merthyr Tydfil,Cf47 8dn,merthyrtydfil@peteralan.co.uk,01685 722223,http://www.peteralan.co.uk,@,Yes,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,5pm,,,"Sales, Lettings, auctions, land and new homes, mortgages, conveyancing, energy performance certificates "
"51.744999660772 -3.37835965089646|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T08:55:32-04:00",Jane Allen jewellers ,Shopping,Mr Davies,48 high street,Merthyr Tydfil,,,01685 383788,,@,No,10am,4pm,10am,4pm,10am,4pm,10am,4pm,10am,4pm,10am,4pm,,,"Sell gold, do repairs"
"51.7454806545172 -3.37811189090665|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T07:18:48-04:00",Profile,Shopping,,"Unit 3, beacons place",Merthyr Tydfil,,,01685 379353,,@,No,10am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,Male clothing
"51.7465834024162 -3.37818453123965|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T06:22:31-04:00",Lloyds Bank,Services,Joanna James,69 high street,Merthyr Tydfil,Cf47 8ad,,0845 3000000,http://www.ltsb.co.uk,@,No,9am,5pm,9am,5pm,10am,5pm,9am,7pm,9am,5pm,9am,1pm,,,"Banking service, loans"
"51.7453260999896 -3.37733987344973|John Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T08:12:59-04:00",Motaquote,Services,Courtney harris,Unit 2 beacons place ,Merthyr Tydfil,Cf47 8df,courtney.harris@ccventures.co.uk,01685 370111,http://www.motaquote.co.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,12pm,,,"Home insurance, car, holiday, pet insurance "
Unknown location,Ladies emporium,Shopping,,,Merthyr Tydfil,,,,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Ladies clothing, bags"
"51.7463454362854 -3.37961494613326|Wheatsheaf Lane, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T05:48:19-04:00",Busy bee fish bar,Eating and Drinking,Mark Baylis,"Wheat sheaf lane, ",Merthyr Tydfil,Cf47 8au,busybeefishbar@yahoo.co.uk,01685 383283,,@,Yes,9am,6pm,9am,6pm,6pm,6pm,9am,6pm,9am,6pm,9am,6pm,,,"Fish, chips, soft drinks, sausgages"
